category,subcategory_1,subcategory_2,uuid,name,description,part_number,price,cost,taxable,unit_of_measure,material_markup_enabled
Install,Refrigerant piping,Copper tubing,pbmat_088c744aca1d448bbbf6a115cc49a821,EZB38164,"Refrigerant tubing 3/8"" EZB black coated lineset",EZB38164,$702.16,$702.16,true,Each,false
Equipment,Mitsubishi,"",pbmat_259904e52dab4744a7920a0ee271c44a,PUZ-HA24NHA1,"Zuba central outdoor

Brand: Mitsubishi
Outdoor model number: PUZ-HA24NHA1
Indoor model number(s): PVA-A24AA7
Heat Pump AHRI number: 206223044
Tonnage: 2
HSPF: 10.40
SEER: 19.00
",PUZ-HA24NHA1,$6343.20,$6343.20,true,Each,false
Equipment,Mitsubishi,"",pbmat_5cf6ccf1394b467f848456385488a1ef,PUZ-HA36NKA,"Zuba central outdoor

Brand: Mitsubishi
Outdoor model number: PUZ-HA36NKA
Indoor model number(s): PVA-A36AA7
Heat Pump AHRI number: 206223052
Tonnage: 3
HSPF: 11.20
SEER: 18.20",PUZ-HA36NKA,$7504.80,$7504.80,true,Each,false
Equipment,Mitsubishi,"",pbmat_dc5a9d6ead5741ae9786eb4e7f0a0535,PUZ-HA42NKA1,"Zuba central

** Not eligible for CleanBC (SEER too low)

Brand: Mitsubishi
Outdoor model number: PUZ-HA42NKA1
Indoor model number(s): PVA-A42AA7
Heat Pump AHRI number: 206223059
Tonnage: 3.5
HSPF: 10
SEER: 15.4",PUZ-HA42NKA1,$8204.80,$8204.80,true,Each,false
Equipment,Mitsubishi,"",pbmat_323088885fd34e93a193961bfd6ad144,PUZ-HA30NKA,"Zuba Central 2.5 Ton
",PUZ-HA30NKA,$6956.00,$6956.00,true,Each,false
Equipment,Mitsubishi,"",pbmat_a5fb6b5e321a48a5ba68308ce1153a37,PVA-A24AA7,Zuba central ducted air handler,PVA-A24AA7,$2642.40,$2642.40,true,Each,false
Equipment,Mitsubishi,"",pbmat_f96724dd1d6648a2a10ffd4ff793febe,PVA-A30AA7,Zuba central ducted air handler,PVA-A30AA7,$2777.60,$2777.60,true,Each,false
Equipment,Mitsubishi,"",pbmat_ef85c7448f8a4e139c5fab1b97dd9185,PVA-A36AA7,Zuba central ducted air handler,PVA-A36AA7,$3097.60,$3097.60,true,Each,false
Equipment,Mitsubishi,"",pbmat_648c7621915d418094cee705b4721d8c,PVA-A42AA7,"Zuba central ducted air handler
",PVA-A42AA7,$3643.20,$3643.20,true,Each,false
Equipment,Mitsubishi,"",pbmat_1e176ec3bb7c4982a45877458929268a,MXZ-3C24NAHZ4,"Multi-split H2i (Non-ducted)

Brand: Mitsubishi
Outdoor model number: MXZ-3C24NAHZ4
Indoor model number(s): See materials
Heat Pump AHRI number: 209424902
Tonnage: 2
HSPF2: 10
SEER2: 19",MXZ-3C24NAHZ4,$6264.00,$6264.00,true,Each,false
Equipment,Mitsubishi,"",pbmat_bd4448d018aa451a9dc783c375365425,MXZ-4C36NAHZ2,"Multi-split H2i (Non-ducted)

Brand: Mitsubishi
Outdoor model number: MXZ-4C36NAHZ2
Indoor model number(s): See materials
Heat Pump AHRI number: 204834292
Tonnage: 3
HSPF: 11.30
SEER: 20.00",MXZ-4C36NAHZ2,$6369.60,$6369.60,true,Each,false
Equipment,Mitsubishi,"",pbmat_2c82c0a03d174be782453b1c679b08df,MXZ-4C36NAHZ2,"Multi-split H2i (Mixed)

Brand: Mitsubishi
Outdoor model number: MXZ-4C36NAHZ2
Indoor model number(s): See materials
Heat Pump AHRI number: 204926512
Tonnage: 3
HSPF: 11.15
SEER: 18.75",MXZ-4C36NAHZ2,$6369.60,$6369.60,true,Each,false
Equipment,Mitsubishi,"",pbmat_7747c646f8c045d59f02bfc2406d2045,MXZ-5C42NAHZ2,"Multi-split H2i (Non-ducted)

Brand: Mitsubishi
Outdoor model number: MXZ-5C42NAHZ2
Indoor model number(s): See materials
Heat Pump AHRI number: 204834294
Tonnage: 3.5
HSPF: 11.00
SEER: 20.00",MXZ-5C42NAHZ2,$8012.80,$8012.80,true,Each,false
